# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles:u'
# Event count (approx.): 594373721008
#
# Overhead  Command  Shared Object                                       Symbol                                                                                                                                                                                             IPC   [IPC Coverage]
# ........  .......  ..................................................  .................................................................................................................................................................................................  ....................
#
    32.07%  ABE      ABE                                                 [.] compute_rhs_bssn_                                                                                                                                                                              -      -            
     9.50%  ABE      ABE                                                 [.] polint_                                                                                                                                                                                        -      -            
     8.02%  ABE      ABE                                                 [.] kodis_                                                                                                                                                                                         -      -            
     6.13%  ABE      ABE                                                 [.] fdderivs_                                                                                                                                                                                      -      -            
     5.79%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f13c4                                                                                                                                                                             -      -            
     3.90%  ABE      ABE                                                 [.] lopsided_                                                                                                                                                                                      -      -            
     3.72%  ABE      libmpi.so.40.40.7                                   [.] 0x0000000000230c1c                                                                                                                                                                             -      -            
     3.64%  ABE      libmpi.so.40.40.7                                   [.] 0x0000000000230f24                                                                                                                                                                             -      -            
     2.88%  ABE      ABE                                                 [.] prolong3_                                                                                                                                                                                      -      -            
     2.76%  ABE      libc.so.6                                           [.] __memcpy_sve                                                                                                                                                                                   -      -            
     2.75%  ABE      libc.so.6                                           [.] __memset_sve_zva64                                                                                                                                                                             -      -            
     2.59%  ABE      libc.so.6                                           [.] cfree@GLIBC_2.17                                                                                                                                                                               -      -            
     2.28%  ABE      libc.so.6                                           [.] malloc                                                                                                                                                                                         -      -            
     1.97%  ABE      ABE                                                 [.] fderivs_                                                                                                                                                                                       -      -            
     1.09%  ABE      ABE                                                 [.] rungekutta4_rout_                                                                                                                                                                              -      -            
     0.93%  ABE      ABE                                                 [.] enforce_ga_                                                                                                                                                                                    -      -            
     0.75%  ABE      ABE                                                 [.] restrict3_                                                                                                                                                                                     -      -            
     0.69%  ABE      libopen-pal.so.80.0.5                               [.] opal_progress                                                                                                                                                                                  -      -            
     0.59%  ABE      ABE                                                 [.] symmetry_bd_                                                                                                                                                                                   -      -            
     0.57%  ABE      ABE                                                 [.] polin3_                                                                                                                                                                                        -      -            
     0.51%  ABE      libm.so.6                                           [.] pow@@GLIBC_2.29                                                                                                                                                                                -      -            
     0.46%  ABE      [unknown]                                           [k] 0xffffbb7146732894                                                                                                                                                                             -      -            
     0.40%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000608c8                                                                                                                                                                             -      -            
     0.37%  ABE      libc.so.6                                           [.] malloc_consolidate                                                                                                                                                                             -      -            
     0.34%  ABE      libmpi.so.40.40.7                                   [.] 0x0000000000230c28                                                                                                                                                                             -      -            
     0.27%  ABE      ABE                                                 [.] Ansorg::interpolate_tri_bar(double, double, double, int, int, int, double*, double*, double*, double*)                                                                                         -      -            
     0.24%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f13b0                                                                                                                                                                             -      -            
