# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:u'
# Event count (approx.): 374315164965
#
# Overhead  Command  Shared Object                                       Symbol                                                                                                      IPC   [IPC Coverage]
# ........  .......  ..................................................  ..........................................................................................................  ....................
#
    26.44%  ABE      ABE                                                 [.] compute_rhs_bssn_                                                                                       -      -            
    14.75%  ABE      ABE                                                 [.] polint_                                                                                                 -      -            
    12.11%  ABE      ABE                                                 [.] kodis_                                                                                                  -      -            
    10.82%  ABE      ABE                                                 [.] fdderivs_                                                                                               -      -            
     6.46%  ABE      ABE                                                 [.] lopsided_                                                                                               -      -            
     3.91%  ABE      ABE                                                 [.] prolong3_                                                                                               -      -            
     3.88%  ABE      libc.so.6                                           [.] malloc                                                                                                  -      -            
     3.86%  ABE      libc.so.6                                           [.] cfree@GLIBC_2.17                                                                                        -      -            
     3.09%  ABE      ABE                                                 [.] fderivs_                                                                                                -      -            
     2.85%  ABE      libc.so.6                                           [.] __memcpy_sve                                                                                            -      -            
     2.03%  ABE      libc.so.6                                           [.] __memset_sve_zva64                                                                                      -      -            
     0.92%  ABE      ABE                                                 [.] symmetry_bd_                                                                                            -      -            
     0.89%  ABE      ABE                                                 [.] polin3_                                                                                                 -      -            
     0.78%  ABE      ABE                                                 [.] enforce_ga_                                                                                             -      -            
     0.77%  ABE      libm.so.6                                           [.] pow@@GLIBC_2.29                                                                                         -      -            
     0.72%  ABE      ABE                                                 [.] rungekutta4_rout_                                                                                       -      -            
     0.66%  ABE      ABE                                                 [.] restrict3_                                                                                              -      -            
     0.50%  ABE      ABE                                                 [.] misc::fact(int)                                                                                         -      -            
     0.45%  ABE      libc.so.6                                           [.] malloc_consolidate                                                                                      -      -            
     0.44%  ABE      [unknown]                                           [k] 0xffffbb7146732894                                                                                      -      -            
     0.42%  python3  python3.13                                          [.] _PyEval_EvalFrameDefault                                                                                -      -            
     0.38%  ABE      ABE                                                 [.] Ansorg::interpolate_tri_bar(double, double, double, int, int, int, double*, double*, double*, double*)  -      -            
     0.29%  ABE      ABE                                                 [.] decide3d_                                                                                               -      -            
     0.22%  ABE      ABE                                                 [.] surface_integral::surf_Wave(double, int, cgh*, var*, var*, int, int, int, double*, double*, monitor*)   -      -            
     0.17%  ABE      libc.so.6                                           [.] _int_free_chunk                                                                                         -      -            
     0.17%  ABE      libm.so.6                                           [.] __sincos                                                                                                -      -            
     0.16%  ABE      ABE                                                 [.] average2_                                                                                               -      -            
     0.15%  python3  python3.13                                          [.] _PyObject_GenericGetAttrWithDict                                                                        -      -            
     0.10%  ABE      libc.so.6                                           [.] _int_malloc                                                                                             -      -            
     0.10%  ABE      ABE                                                 [.] free@plt                                                                                                -      -            
     0.07%  ABE      ABE                                                 [.] global_interp_                                                                                          -      -            
