# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:u'
# Event count (approx.): 436113444229
#
# Overhead  Command  Shared Object                                       Symbol                                                                                                      IPC   [IPC Coverage]
# ........  .......  ..................................................  ..........................................................................................................  ....................
#
     0.02%  ABE      ABE                                                 [.] operator delete[](void*)@plt                                                                            -      -            
     0.02%  ABE      ABE                                                 [.] malloc@plt                                                                                              -      -            
     0.02%  python3  python3.13                                          [.] PyObject_Init                                                                                           -      -            
     0.02%  python3  python3.13                                          [.] 0x0000000000101b78                                                                                      -      -            
     0.02%  python3  python3.13                                          [.] memcpy@plt                                                                                              -      -            
     0.02%  python3  python3.13                                          [.] 0x00000000001129f8                                                                                      -      -            
     0.02%  python3  python3.13                                          [.] PyLong_FromLong                                                                                         -      -            
     0.02%  python3  libc.so.6                                           [.] pthread_cond_signal@@GLIBC_2.17                                                                         -      -            
     0.02%  python3  python3.13                                          [.] 0x0000000000153ecc                                                                                      -      -            
     0.02%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x00000000001e76c0                                                                                      -      -            
     0.02%  ABE      libm.so.6                                           [.] __tanh                                                                                                  -      -            
     0.02%  python3  libc.so.6                                           [.] _int_free_chunk                                                                                         -      -            
     0.02%  python3  python3.13                                          [.] PyObject_RichCompare                                                                                    -      -            
     0.02%  python3  libc.so.6                                           [.] strcmp                                                                                                  -      -            
     0.02%  python3  python3.13                                          [.] 0x000000000008d560                                                                                      -      -            
     0.02%  python3  python3.13                                          [.] 0x00000000000f4230                                                                                      -      -            
     0.02%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x00000000000e6688                                                                                      -      -            
     0.02%  python3  python3.13                                          [.] _PyUnicodeWriter_PrepareInternal                                                                        -      -            
     0.02%  python3  python3.13                                          [.] 0x00000000001d7da0                                                                                      -      -            
     0.02%  python3  libc.so.6                                           [.] _int_free_create_chunk                                                                                  -      -            
     0.02%  python3  python3.13                                          [.] _PyObject_GetMethod                                                                                     -      -            
     0.02%  python3  python3.13                                          [.] 0x0000000000102b68                                                                                      -      -            
     0.02%  python3  python3.13                                          [.] PyCapsule_GetPointer                                                                                    -      -            
     0.02%  python3  python3.13                                          [.] 0x00000000000f5750                                                                                      -      -            
     0.02%  python3  python3.13                                          [.] PyErr_Format                                                                                            -      -            
     0.02%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x00000000000ef240                                                                                      -      -            
     0.02%  ABE      libmpi.so.40.40.7                                   [.] opal_progress@plt                                                                                       -      -            
     0.02%  python3  python3.13                                          [.] PyTraceMalloc_Untrack                                                                                   -      -            
     0.02%  python3  _umath_linalg.cpython-313-aarch64-linux-gnu.so      [.] 0x000000000000f914                                                                                      -      -            
     0.02%  ABE      libmpi.so.40.40.7                                   [.] 0x0000000000230c08                                                                                      -      -            
     0.02%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f1240                                                                                      -      -            
     0.02%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000608cc                                                                                      -      -            
