# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 25K of event 'cycles:u'
# Event count (approx.): 2288360700315
#
# Overhead  Command  Shared Object                                       Symbol                                                                                                                                                                                             IPC   [IPC Coverage]
# ........  .......  ..................................................  .................................................................................................................................................................................................  ....................
#
     0.07%  ABE      libc.so.6                                           [.] malloc_consolidate                                                                                                                                                                             -      -            
     0.06%  ABE      [unknown]                                           [k] 0xffffbb7146732894                                                                                                                                                                             -      -            
     0.06%  ABE      ABE                                                 [.] average2_                                                                                                                                                                                      -      -            
     0.06%  ABE      libc.so.6                                           [.] _int_malloc                                                                                                                                                                                    -      -            
     0.05%  python3  python3.13                                          [.] _PyEval_EvalFrameDefault                                                                                                                                                                       -      -            
     0.05%  ABE      libmpi.so.40.40.7                                   [.] 0x0000000000287ecc                                                                                                                                                                             -      -            
     0.05%  ABE      libc.so.6                                           [.] _int_free_chunk                                                                                                                                                                                -      -            
     0.04%  ABE      ABE                                                 [.] decide3d_                                                                                                                                                                                      -      -            
     0.04%  ABE      ABE                                                 [.] misc::fact(int)                                                                                                                                                                                -      -            
     0.04%  ABE      libmpi.so.40.40.7                                   [.] 0x0000000000241b5c                                                                                                                                                                             -      -            
     0.04%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f1348                                                                                                                                                                             -      -            
     0.03%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000271ec                                                                                                                                                                             -      -            
     0.03%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000271c0                                                                                                                                                                             -      -            
     0.02%  ABE      ABE                                                 [.] surface_integral::surf_Wave(double, int, cgh*, var*, var*, int, int, int, double*, double*, monitor*)                                                                                          -      -            
     0.02%  ABE      libmpi.so.40.40.7                                   [.] ompi_request_default_wait                                                                                                                                                                      -      -            
     0.02%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000271c4                                                                                                                                                                             -      -            
     0.02%  ABE      ABE                                                 [.] Ansorg::find_point_bisection(double, int, double*, int)                                                                                                                                        -      -            
     0.02%  ABE      ABE                                                 [.] memset@plt                                                                                                                                                                                     -      -            
     0.02%  ABE      libm.so.6                                           [.] __sincos                                                                                                                                                                                       -      -            
     0.02%  ABE      ABE                                                 [.] global_interp_                                                                                                                                                                                 -      -            
     0.02%  ABE      libmpi.so.40.40.7                                   [.] 0x0000000000230c08                                                                                                                                                                             -      -            
     0.02%  ABE      ABE                                                 [.] Patch::Interp_Points(MyList<var>*, int, double**, double*, int)                                                                                                                                -      -            
     0.02%  ABE      libmpi.so.40.40.7                                   [.] 0x0000000000230bf4                                                                                                                                                                             -      -            
     0.02%  ABE      ABE                                                 [.] Parallel::build_gstl(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**)                                                         -      -            
     0.01%  ABE      libopen-pal.so.80.0.5                               [.] 0x0000000000027248                                                                                                                                                                             -      -            
     0.01%  ABE      ABE                                                 [.] free@plt                                                                                                                                                                                       -      -            
     0.01%  ABE      libmpi.so.40.40.7                                   [.] 0x0000000000230bfc                                                                                                                                                                             -      -            
     0.01%  ABE      libmpi.so.40.40.7                                   [.] 0x0000000000241b4c                                                                                                                                                                             -      -            
     0.01%  ABE      ABE                                                 [.] memcpy@plt                                                                                                                                                                                     -      -            
     0.01%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000271f0                                                                                                                                                                             -      -            
     0.01%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f1320                                                                                                                                                                             -      -            
     0.01%  ABE      libc.so.6                                           [.] unlink_chunk.isra.0                                                                                                                                                                            -      -            
     0.01%  ABE      libc.so.6                                           [.] pthread_mutex_lock@@GLIBC_2.17                                                                                                                                                                 -      -            
     0.01%  ABE      [unknown]                                           [k] 0xffffbb7146733314                                                                                                                                                                             -      -            
     0.01%  ABE      ABE                                                 [.] get_ansorg_nbhs_                                                                                                                                                                               -      -            
     0.01%  python3  python3.13                                          [.] PyObject_Vectorcall                                                                                                                                                                            -      -            
     0.01%  ABE      libmpi.so.40.40.7                                   [.] mca_pml_ob1_recv_req_start                                                                                                                                                                     -      -            
     0.01%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f123c                                                                                                                                                                             -      -            
     0.01%  python3  python3.13                                          [.] _Py_Dealloc                                                                                                                                                                                    -      -            
     0.01%  ABE      libmpi.so.40.40.7                                   [.] ompi_request_default_wait_all                                                                                                                                                                  -      -            
     0.01%  python3  python3.13                                          [.] _PyObject_GenericGetAttrWithDict                                                                                                                                                               -      -            
     0.00%  ABE      libm.so.6                                           [.] __acos_finite@GLIBC_2.17                                                                                                                                                                       -      -            
     0.00%  ABE      libc.so.6                                           [.] __GI_____strtod_l_internal                                                                                                                                                                     -      -            
     0.00%  ABE      ABE                                                 [.] perf::sample_mem_usage(int)                                                                                                                                                                    -      -            
     0.00%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f14b0                                                                                                                                                                             -      -            
     0.00%  ABE      ABE                                                 [.] surface_integral::surf_MassPAng(double, int, cgh*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, double*, monitor*)  -      -            
     0.00%  ABE      ABE                                                 [.] misc::Wigner_d_function(int, int, int, double)                                                                                                                                                 -      -            
     0.00%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f14a8                                                                                                                                                                             -      -            
     0.00%  ABE      libc.so.6                                           [.] _int_free_merge_chunk                                                                                                                                                                          -      -            
     0.00%  python3  python3.13                                          [.] PyObject_GC_Del                                                                                                                                                                                -      -            
     0.00%  python3  python3.13                                          [.] PySlice_New                                                                                                                                                                                    -      -            
     0.00%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x00000000000da5dc                                                                                                                                                                             -      -            
     0.00%  python3  python3.13                                          [.] PyBytes_FromStringAndSize                                                                                                                                                                      -      -            
     0.00%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x000000000014cc20                                                                                                                                                                             -      -            
     0.00%  python3  python3.13                                          [.] 0x000000000008fa60                                                                                                                                                                             -      -            
     0.00%  python3  python3.13                                          [.] PyObject_GetAttr                                                                                                                                                                               -      -            
     0.00%  python3  libc.so.6                                           [.] malloc                                                                                                                                                                                         -      -            
     0.00%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x00000000001203c0                                                                                                                                                                             -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000000a1b68                                                                                                                                                                             -      -            
     0.00%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x00000000000f053c                                                                                                                                                                             -      -            
     0.00%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x00000000000f9288                                                                                                                                                                             -      -            
     0.00%  python3  python3.13                                          [.] _PyObject_GetMethod                                                                                                                                                                            -      -            
     0.00%  python3  python3.13                                          [.] PyDict_GetItemRef                                                                                                                                                                              -      -            
     0.00%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x00000000001ceb14                                                                                                                                                                             -      -            
     0.00%  python3  python3.13                                          [.] 0x000000000008d678                                                                                                                                                                             -      -            
     0.00%  python3  python3.13                                          [.] PyLong_FromLong                                                                                                                                                                                -      -            
     0.00%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x0000000000120484                                                                                                                                                                             -      -            
     0.00%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] PyErr_Occurred@plt                                                                                                                                                                             -      -            
     0.00%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x000000000007504c                                                                                                                                                                             -      -            
     0.00%  ABE      libmpi.so.40.40.7                                   [.] ompi_request_check_same_instance                                                                                                                                                               -      -            
     0.00%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f12f4                                                                                                                                                                             -      -            
     0.00%  python3  liblapack.so.3                                      [.] dgehd2_                                                                                                                                                                                        -      -            
     0.00%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x000000000014dd8c                                                                                                                                                                             -      -            
     0.00%  python3  python3.13                                          [.] PyGILState_Ensure                                                                                                                                                                              -      -            
     0.00%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f133c                                                                                                                                                                             -      -            
     0.00%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x00000000001de6e8                                                                                                                                                                             -      -            
     0.00%  ABE      libmpi.so.40.40.7                                   [.] 0x0000000000230f1c                                                                                                                                                                             -      -            
     0.00%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x00000000000d9adc                                                                                                                                                                             -      -            
     0.00%  python3  libc.so.6                                           [.] sem_trywait@@GLIBC_2.34                                                                                                                                                                        -      -            
     0.00%  ABE      ABE                                                 [.] Parallel::Sync(Patch*, MyList<var>*, int)                                                                                                                                                      -      -            
