#  corrdinate, H_Res, Px_Res, Py_Res, Pz_Res, Gx_Res, Gy_Res, Gz_Res, ....
      0.16 -1.40265573420948e-06 -1.38285466979591e-08 1.29200596068764e-06 -8.87737538484958e-10 5.29023934799268e-07 5.03586491832406e-07 -3.34619533808177e-10
      0.48 -1.10879745974031e-06 -1.74904271758879e-06 7.51591517340267e-06 -2.69059302159694e-09 7.21394657442727e-06 -5.66151843402881e-07 -5.9342531454372e-10
       0.8 1.09817889150276e-06 1.44215612364978e-06 -1.68486193656794e-05 5.95406250429646e-09 1.06772078094696e-06 4.16698421178748e-06 -2.7310207498682e-09
      1.12 -1.36291777689413e-05 -1.70762219155449e-05 2.64161383303821e-07 -1.27045751377434e-08 -3.24993038733837e-06 2.29527785993849e-06 -1.30032459415525e-11
      1.44 -3.65800759193207e-05 4.75773325265818e-06 -2.65576733938005e-05 3.48241956781657e-09 2.54323736413591e-06 1.46442701961006e-05 1.08831285650971e-09
      1.76 -0.000425529209111735 6.43975762627778e-05 -0.000445356471949548 -2.53848419993383e-06 -6.39146480118023e-05 0.000122798186792572 3.9169274800203e-07
      2.08 -0.0233544003244441 -0.000223096368576449 -0.0134169276227993 0.00375260174587777 0.00355059870311392 -0.000730642972069382 -0.000566440308826335
       2.4 -272.771637065618 -554.569788379666 -13.0014667987528  219.09942314731 -4.44514698808949 -0.19727756167512 0.750737318888441
      2.72 -0.0309756057792826 0.00022335868969271 0.00295087930866288 0.00342232077206449 0.00142458393826534 -0.000367592329637704 -0.000214660272507685
      3.04 -0.000529404348279095 7.40553384411087e-05 0.000536612874927028 3.65415142244657e-07 -9.45380254796289e-05 -0.000129263371458726 3.40525346541396e-07
      3.36 -4.00835378960823e-05 5.10027294808735e-06 4.44687077399882e-05 8.3742360236503e-09 2.75682314173107e-06 -1.58964638152456e-05 2.00384493970325e-09
      3.68 -4.65623978906747e-06 -3.08423441426322e-05 2.21500884725101e-06 -3.09860935823381e-09 6.07687533443749e-07 -2.4323088169764e-06 -6.97210243876663e-11
         4 -3.17114425412908e-05 3.2309982051416e-06 2.46308294019866e-05 2.13335507617432e-08 3.25605704552298e-06 2.39203232560438e-06 -7.66672414425651e-09
      4.32 1.36730872271182e-06 -1.77467050793532e-05 -1.7580462748802e-05 6.32928311630041e-10 4.33581862469536e-06 1.92640814727641e-06 -1.41392517373617e-09
      4.64 1.639474798963e-06 8.45480518658159e-06 1.47951451153047e-06 4.37084503511497e-10 1.9235686177039e-06 3.98980023138127e-07 -9.92304472178494e-11
      4.96 -3.79301988582839e-07 -2.09850102741085e-06 4.42252239984075e-06 -2.91394580649469e-10 1.9293345291678e-06 -2.09349821470753e-06 -1.5577925190413e-12
      5.28 1.94468844764785e-05 1.70619289997297e-07 -2.01524198999055e-06 -1.44040874550959e-08 -7.76935840200786e-07 -1.12905735748238e-06 -5.00193659468276e-09
       5.6 6.3987561530558e-09 -4.31426497525312e-07 -1.37265191566684e-06 -4.27240057224827e-10 3.01477791291861e-07 -1.53180521512441e-06 -1.73156441429964e-10
      5.92 1.34026967848272e-08 -2.34536265914501e-06 -3.55797773910838e-06 -3.19203823566238e-10 1.38730634847327e-06 5.11823801654352e-07 4.77043110190174e-11
      6.24 4.2462173504777e-07 1.52897710876637e-06 1.19075905181958e-06 -8.19687358108035e-11 9.4874369300002e-07 6.88864779582592e-07 7.0598137830873e-11
      6.56 7.75968555368112e-09 5.991370827715e-08 6.27511841112761e-08 -1.03481894159023e-10 -1.1592239012963e-07 -4.74819674680408e-07 4.02254184800839e-11
      6.88 3.03076966861868e-07 -2.23127465373193e-07 -3.56891202964651e-07 -1.13168676770002e-10 -1.89115447248685e-08 -1.95722458520305e-07 2.69564638549017e-11
       7.2 -1.52652180305752e-08 -1.36191409883265e-07 -3.93887206482396e-07 -1.43767214322071e-10 -4.29567049383985e-08 7.61706366808374e-08 2.2197165214036e-11
      7.52 -2.1406707982499e-07 2.18154816676403e-07 -2.01299187338405e-06 -5.06244606360139e-11 -8.77605575075815e-08 -7.79282466050538e-07 -1.14226420453622e-11
      7.84 1.2001103451493e-06 8.04599974855489e-07 1.80938320722809e-06 1.96849150294697e-10 6.26483908937201e-07 -1.59210702366687e-06 6.10171807062594e-11
      8.16 -1.46080940403303e-06 -1.72310091222785e-06 8.27566889201349e-07 -8.90957592952202e-10 -6.53203258306219e-08 5.42691144408317e-07 1.51026110686424e-11
      8.48 7.27237638898736e-07 2.70217441319601e-07 -9.26463630441697e-07 -2.53066083986851e-09 -3.9027896594445e-07 -3.48789644215173e-07 -1.21182776374295e-10
       8.8 7.95904324892803e-07 -7.25909701351027e-08 -9.38204242490185e-07 -1.54221874621236e-10 -8.02469734946889e-08 3.00874686831141e-07 -5.06021781580648e-11
      9.12 1.11304996937416e-07 -8.61792235906182e-08 -9.19942146675629e-08 -8.53866298344416e-11 6.54356342648049e-08 3.91463392614561e-07 -3.44898419839317e-11
      9.44 -3.30042658498804e-08 -2.73552950498337e-08 2.81181909219521e-07 -4.47713975444418e-11 2.05668470905682e-08 1.5546976044586e-07 -2.20764985706369e-11
      9.76 1.5349027750509e-07 2.77436806206343e-08 1.57990579563887e-07 -3.57408622776953e-11 -8.74233076911631e-08 -1.21127987727537e-07 -1.46934876849976e-11
     10.08 1.52230575050847e-07 -5.24414716388113e-08 -9.68862420377836e-08 -3.04373208527606e-11 -8.10379672221025e-08 -9.02665989797114e-08 -1.37416725097542e-11
      10.4 1.05834971581998e-07 -7.33780659859582e-08 -1.48217850505211e-07 -2.5723667008725e-11 -6.0446561162039e-08 -4.28829514673958e-08 -1.31056707453879e-11
     10.72 5.51002290597639e-08 -4.18681886270892e-08 -4.83936035167646e-08 -2.08981610282366e-11 -4.45126685059784e-08 -2.53527879552624e-08 -1.16744294321474e-11
     11.04 4.1302345335708e-08 -2.70948080125571e-08 -1.61327645984995e-08 -1.83466122549977e-11 -3.48831220351624e-08 -1.82784217690996e-08 -1.01465712813237e-11
     11.36 4.03042370957273e-08 -2.15814577852687e-08 -1.81888171366139e-08 -1.68694695014942e-11 -2.91566733945811e-08 -1.63079052515602e-08 -8.82330136143551e-12
     11.68 3.28786744678839e-08 -1.78806098571986e-08 -1.9525930004988e-08 -1.49386800008601e-11 -2.38333788337664e-08 -1.20649427114255e-08 -7.86158571354856e-12
        12 2.32164088601193e-08 -1.47240148897134e-08 -1.45971841360198e-08 -1.04688368925027e-11 -1.97398448593697e-08 -1.1018347099459e-08 -7.43018730477705e-12
     12.32 2.11821998291816e-08 -1.11230877384278e-08 2.9440708874227e-09 -4.95368825914276e-12 -1.57137240703105e-08 -6.07743258712038e-09 -6.13608482861975e-12
     12.64 3.13075992228521e-08 -7.2470636379676e-09 2.57383746655794e-08 5.99980766604173e-12 -1.17002935478153e-08 1.71579355191249e-10 -6.19738824801871e-12
     12.96 2.19316912814355e-08 -8.30937867526994e-09 -3.85415732575621e-08 -4.50749015519229e-11 -9.20943143493434e-09 1.29439117074961e-08 7.72161483446725e-12
     13.28 5.02122551748652e-09 -1.20042703435016e-08 -1.257489996405e-07 -4.1947317037563e-11 -1.15545658569029e-08 -2.68018871460185e-08 -4.66969327895624e-12
      13.6 2.89301369357784e-09 -1.04661516349294e-08 -1.61381623158529e-07 1.76293105976945e-10 -1.74712339200975e-08 -1.55340576973328e-07 -7.66916707372755e-11
     13.92 -3.38023737282203e-08 -6.43868006944868e-08 -9.11608085069473e-08 -2.14894337695219e-10 -4.51169990566955e-08 -2.3464017981213e-07 -9.1045623910338e-11
     14.24 -5.69834212903188e-08 -1.18195498346377e-07 6.37772620337127e-09 -6.61436289970019e-10 -6.13745591228053e-08 -1.96482764478201e-07 -4.68639144869453e-11
     14.56 1.54727243672456e-07 -8.01871585200301e-08 -2.85921777458705e-08 -2.45589252580144e-12 -6.44670844826036e-08 -3.57842042987374e-08 -4.57878469229149e-12
     14.88 1.22595043500201e-07 -3.53594194741909e-08 -4.5976275367638e-09 -6.23256807349371e-12 -3.23960278072133e-08 2.87005167387501e-08 -4.03853759555629e-12
      15.2 7.57741217095418e-08 1.77314720096811e-08 2.44950809920456e-08 -6.06436294798225e-12 -1.25824273628254e-09 1.08214908182261e-07 -7.79396657865307e-13
     15.52 4.85582489733686e-08 3.28591756482045e-08 3.6935335906917e-08 -1.50363407103831e-11 4.82700379538475e-09 1.16177169486883e-07 -4.89062080380731e-12
     15.84 3.30534757281667e-08 2.84555585361411e-08 4.16361813392274e-08 -2.24826875768436e-11 -1.79016009291463e-09 8.99818477541924e-08 -9.33314708016087e-12
