# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 51K of event 'cycles:u'
# Event count (approx.): 1666910272721
#
# Overhead  Command  Shared Object                                       Symbol                                                                                                                                                                                                                                                                                                                                                              IPC   [IPC Coverage]
# ........  .......  ..................................................  ..................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.05%  ABE      ABE                                                 [.] decide3d_                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.05%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000605e0                                                                                                                                                                                                                                                                                                                                              -      -            
     0.05%  ABE      ABE                                                 [.] Block::getdX(int)                                                                                                                                                                                                                                                                                                                                               -      -            
     0.05%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f122c                                                                                                                                                                                                                                                                                                                                              -      -            
     0.04%  ABE      ABE                                                 [.] Parallel::data_packer(double*, MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*, int, int, MyList<var>*, MyList<var>*, int) [clone .constprop.0]                                                                                                                                                                                                          -      -            
     0.04%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f1244                                                                                                                                                                                                                                                                                                                                              -      -            
     0.04%  ABE      [unknown]                                           [k] 0xffffbb7146732894                                                                                                                                                                                                                                                                                                                                              -      -            
     0.04%  ABE      ABE                                                 [.] Parallel::transfer(MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**, MyList<var>*, MyList<var>*, int)                                                                                                                                                                                                                                                   -      -            
     0.03%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f13bc                                                                                                                                                                                                                                                                                                                                              -      -            
     0.03%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f14a8                                                                                                                                                                                                                                                                                                                                              -      -            
     0.03%  ABE      ABE                                                 [.] bssn_class::Step(int, int)                                                                                                                                                                                                                                                                                                                                      -      -            
     0.03%  ABE      libm.so.6                                           [.] __sincos                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.02%  ABE      ABE                                                 [.] Parallel::Sync(Patch*, MyList<var>*, int)                                                                                                                                                                                                                                                                                                                       -      -            
     0.02%  ABE      libc.so.6                                           [.] __aarch64_cas4_acq                                                                                                                                                                                                                                                                                                                                              -      -            
     0.02%  ABE      libc.so.6                                           [.] unlink_chunk.isra.0                                                                                                                                                                                                                                                                                                                                             -      -            
     0.02%  python3  python3.13                                          [.] PyObject_GC_Del                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.02%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f1338                                                                                                                                                                                                                                                                                                                                              -      -            
     0.01%  ABE      ABE                                                 [.] memcpy@plt                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.01%  ABE      libopen-pal.so.80.0.5                               [.] mca_btl_sm_sendi                                                                                                                                                                                                                                                                                                                                                -      -            
     0.01%  ABE      ABE                                                 [.] Parallel::gsl_subtract(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*)                                                                                                                                                                                                                                                                                  -      -            
     0.01%  ABE      ABE                                                 [.] surface_integral::surf_MassPAng(double, int, cgh*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, double*, monitor*)                                                                                                                                                                   -      -            
     0.01%  ABE      ABE                                                 [.] Parallel::build_owned_gsl0(Patch*, int)                                                                                                                                                                                                                                                                                                                         -      -            
     0.01%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000271ec                                                                                                                                                                                                                                                                                                                                              -      -            
     0.01%  ABE      libc.so.6                                           [.] __GI_____strtod_l_internal                                                                                                                                                                                                                                                                                                                                      -      -            
     0.01%  ABE      ABE                                                 [.] misc::Wigner_d_function(int, int, int, double)                                                                                                                                                                                                                                                                                                                  -      -            
     0.01%  ABE      ABE                                                 [.] Ansorg::find_point_bisection(double, int, double*, int)                                                                                                                                                                                                                                                                                                         -      -            
     0.01%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f14b8                                                                                                                                                                                                                                                                                                                                              -      -            
     0.01%  ABE      [unknown]                                           [k] 0xffffbb714626e4c0                                                                                                                                                                                                                                                                                                                                              -      -            
     0.01%  ABE      libopen-pal.so.80.0.5                               [.] mca_btl_sm_poll_handle_frag                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  ABE      ABE                                                 [.] operator delete[](void*)@plt                                                                                                                                                                                                                                                                                                                                    -      -            
     0.01%  ABE      ABE                                                 [.] memset@plt                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.01%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000271c0                                                                                                                                                                                                                                                                                                                                              -      -            
     0.01%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f1330                                                                                                                                                                                                                                                                                                                                              -      -            
     0.01%  ABE      ABE                                                 [.] get_ansorg_nbhs_                                                                                                                                                                                                                                                                                                                                                -      -            
     0.01%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x00000000000e1fd8                                                                                                                                                                                                                                                                                                                                              -      -            
     0.01%  python3  python3.13                                          [.] _PyObject_GenericGetAttrWithDict                                                                                                                                                                                                                                                                                                                                -      -            
     0.01%  ABE      libstdc++.so.6.0.33                                 [.] operator new(unsigned long)                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  python3  python3.13                                          [.] 0x000000000008d67c                                                                                                                                                                                                                                                                                                                                              -      -            
     0.01%  ABE      ABE                                                 [.] Ansorg::xyz_to_ABp(double, double, double, double*, double*, double*)                                                                                                                                                                                                                                                                                           -      -            
     0.01%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f1264                                                                                                                                                                                                                                                                                                                                              -      -            
     0.01%  ABE      libmpi.so.40.40.7                                   [.] mca_pml_ob1_rdma_btls                                                                                                                                                                                                                                                                                                                                           -      -            
     0.01%  python3  python3.13                                          [.] 0x00000000000a08d0                                                                                                                                                                                                                                                                                                                                              -      -            
     0.01%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f125c                                                                                                                                                                                                                                                                                                                                              -      -            
     0.01%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000271b8                                                                                                                                                                                                                                                                                                                                              -      -            
     0.01%  ABE      libmpi.so.40.40.7                                   [.] 0x00000000001f1f90                                                                                                                                                                                                                                                                                                                                              -      -            
     0.01%  python3  python3.13                                          [.] PyObject_Free                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.01%  ABE      libc.so.6                                           [.] str_to_mpn.part.0.constprop.0                                                                                                                                                                                                                                                                                                                                   -      -            
     0.01%  ABE      libmpi.so.40.40.7                                   [.] mca_pml_ob1_recv_req_start                                                                                                                                                                                                                                                                                                                                      -      -            
     0.01%  ABE      [unknown]                                           [k] 0xffffbb7146738330                                                                                                                                                                                                                                                                                                                                              -      -            
     0.01%  ABE      libmpi.so.40.40.7                                   [.] mca_pml_ob1_recv_request_progress_rget                                                                                                                                                                                                                                                                                                                          -      -            
     0.01%  ABE      libmpi.so.40.40.7                                   [.] mca_pml_ob1_recv_frag_callback_match                                                                                                                                                                                                                                                                                                                            -      -            
